COMPANY-NAME,URL,CITY,STATE,EMPLOYEES,TAGS,sponsorship-activation,mobile-tours,b-to-b-meetingsevents,launch-events,buzz-influencer-programs,pr-events,worldwide-event-programs,sampling,sales-conferencesmeetings,internal-employee-events,guerrilla-street-programs,nightlife-marketing,pop-up-stores,trade-shows,retailtainment-events,developer-conferencesevents,college-campus-marketing,press-events,multicultural-events,automotive-launches-and-personal-drive-experiences,events-for-content,digitalsocial-program-creation,corporate-visitorexperience-centers,sports-marketing,incentive-travel
REDPEG MARKETING,http://www.eventmarketer.com/company/redpeg-marketing/,TBD,TBD,1,all mobile-tours sampling sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REVEL,http://www.eventmarketer.com/company/revel-group/,TBD,TBD,1,all b-to-b-meetingsevents buzz-influencer-programs internal-employee-events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REVOLUTION,http://www.eventmarketer.com/company/revolution/,TBD,TBD,1,all mobile-tours sponsorship-activation sports-marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SET,http://www.eventmarketer.com/company/set/,TBD,TBD,1,all retailtainment-events launch-events pop-up-stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOHO EXPERIENTIAL,http://www.eventmarketer.com/company/soho-experiential/,TBD,TBD,1,all buzz-influencer-programs mobile-tours nightlife-marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPARKS,http://www.eventmarketer.com/company/sparks/,TBD,TBD,1,all b-to-b-meetingsevents developer-conferencesevents trade-shows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUPERFLY,http://www.eventmarketer.com/company/superfly-marketing-group/,TBD,TBD,1,all buzz-influencer-programs sponsorship-activation worldwide-event-programs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWITCH,http://www.eventmarketer.com/company/switch/,TBD,TBD,1,all b-to-b-meetingsevents mobile-tours sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNERGY,http://www.eventmarketer.com/company/synergy-events/,TBD,TBD,1,all mobile-tours pr-events sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE TAYLOR GROUP,http://www.eventmarketer.com/company/taylor-group/,TBD,TBD,1,all b-to-b-meetingsevents developer-conferencesevents trade-shows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOUCH WORLDWIDE,http://www.eventmarketer.com/company/touch-worldwide/,TBD,TBD,1,all b-to-b-meetingsevents internal-employee-events press-events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRACK MARKETING GROUP,http://www.eventmarketer.com/company/track-marketing-group/,TBD,TBD,1,all buzz-influencer-programs pr-events sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED ENTERTAINMENT GROUP,http://www.eventmarketer.com/company/united-entertainment-group/,TBD,TBD,1,all retailtainment-events launch-events pr-events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE VISIONARY GROUP,http://www.eventmarketer.com/company/visionary-group/,TBD,TBD,1,all b-to-b-meetingsevents buzz-influencer-programs launch-events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASSERMAN,http://www.eventmarketer.com/company/wasserman/,TBD,TBD,1,all pr-events sponsorship-activation worldwide-event-programs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
