,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
3880,Tallahassee,Florida,"Tallahassee, FL",8443720,moore-communications-group,Advertising & Marketing,42,3879,20676,4,76.8784,362,5,FL,Moore Communications Group
3924,Atlanta,Georgia,Atlanta,33379779,force-marketing,Advertising & Marketing,98,3923,1030,8,75.1918,29,5,GA,Force Marketing
3931,Gaithersburg,Maryland,"Washington, DC",5200653,blue-corona,Advertising & Marketing,33,3930,21104,5,75.0198,3,5,MD,Blue Corona
3958,Oklahoma City,Oklahoma,"Oklahoma City, OK",7091085,saxum,Advertising & Marketing,38,3957,20480,6,74.2029,38,5,OK,Saxum
3962,Plantation,Florida,Miami,6347527,omg-national,Advertising & Marketing,80,3961,18500,4,74.0067,1,5,FL,OMG National
3970,St. Cloud,Minnesota,"St. Cloud, MN",49344700,epromos-promotional-products,Advertising & Marketing,138,3969,2038,7,73.7668,332,5,MN,ePromos Promotional Products
3996,Fairfield,New Jersey,New York City,15585875,pearl-media,Advertising & Marketing,24,3995,21116,3,72.9401,9,5,NJ,Pearl Media
4003,San Francisco,California,San Francisco,16221086,launchsquad,Advertising & Marketing,108,4002,1186,9,72.7996,4,5,CA,LaunchSquad
4008,Los Angeles,California,Los Angeles,10419830,dial800,Advertising & Marketing,43,4007,20419,6,72.6567,2,5,CA,Dial800
4012,San Francisco,California,San Francisco,29321751,dwa-media,Advertising & Marketing,39,4011,25312,3,72.5915,4,5,CA,DWA Media
4018,Seattle,Washington,Seattle,5443671,point-it,Advertising & Marketing,37,4017,22291,5,72.3397,23,5,WA,Point It!
4035,Vernon Hills,Illinois,Chicago,42222989,overture-promotions,Advertising & Marketing,135,4034,26031,3,71.7328,17,5,IL,Overture Promotions
4048,Atlanta,Georgia,Atlanta,8370178,arke,Advertising & Marketing,55,4047,23658,4,71.3533,29,5,GA,Arke
4049,Louisville,Kentucky,"Louisville/Jefferson County, KY-IN",9503011,priceweber-marketing-communications,Advertising & Marketing,71,4048,38298,2,71.2723,630,5,KY,PriceWeber Marketing Communications
4050,Red Bank,New Jersey,New York City,19058531,v12-group,Advertising & Marketing,93,4049,17938,7,71.2189,9,5,NJ,V12 Group
