,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,state_s,company
2492,New York,New York,New York City,4035586,the-junkluggers,Consumer Products & Services,38,2508,25224,149.2406,2,NY,The Junkluggers
2493,Melville,New York,New York City,69915079,global-facility-management-construction,Construction,159,2509,25724,149.0987,2,NY,Global Facility Management & Construction
2494,Parsippany,New Jersey,New York City,122772820,hollister-construction-services,Construction,81,2510,22725,149.0865,3,NJ,Hollister Construction Services
2495,Redding,California,"Redding, CA",18686671,black-bear-diner,Food & Beverage,370,2511,37753,148.9751,1,CA,Black Bear Diner
2496,Stamford,Connecticut,"Bridgeport-Stamford-Norwalk, CT",64873000,focusvision-worldwide,Business Products & Services,176,2512,37754,148.9371,1,CT,FocusVision Worldwide
2497,Cleveland,Ohio,Cleveland,75477652,accurate-group,Real Estate,283,2513,19831,148.8899,5,OH,Accurate Group
2498,Ridgeland,Mississippi,"Jackson, MS",134254034,venture-technologies,Security,205,2514,5053,148.5213,2,MS,Venture Technologies
2499,BOSTON,Massachusetts,Boston,76880000,rapid7,Security,200,2515,296,148.3846,5,MA,Rapid7
2500,Seattle,Washington,Seattle,15807663,skytap,Software,110,2516,37755,148.3699,1,WA,Skytap
2501,Washington,District of Columbia,"Washington, DC",27731294,networking-for-future,IT Services,45,2517,3111,148.2589,6,DC,Networking For Future
2502,Springfield,Missouri,"Springfield, MO",2405958,the-great-game-of-business,Business Products & Services,14,2518,37756,148.2562,1,MO,The Great Game of Business
2503,Sunnyvale,California,San Jose,211853737,good-technology,Software,793,2519,24147,148.2278,3,CA,Good Technology
2504,Webster,New York,"Rochester, NY",39395916,mirror-show-management,Advertising & Marketing,72,2520,4018,148.2128,2,NY,Mirror Show Management
2505,Fort Myers,Florida,"Cape Coral-Fort Myers, FL",3565768,victory-marketing-agency,Advertising & Marketing,21,2521,23544,148.1871,3,FL,Victory Marketing Agency
2506,Norcross,Georgia,Atlanta,35009666,jaipur-rugs,Consumer Products & Services,90,2522,26248,148.1643,2,GA,Jaipur Rugs
2507,JAMAICA,New York,New York City,11242667,adler-windows,Construction,57,2523,25531,148.0984,2,NY,Adler Windows
