,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
1174,1174,New York,New York,New York City,9546104,sub-rosa,Advertising & Marketing,28,1181,22235,2,356.3531,9,5,NY,Sub Rosa
1184,1184,Sarasota,Florida,"Panama City-Lynn Haven, FL",7954290,revenue-universe,Advertising & Marketing,4,1191,23547,1,350.6672,572,5,FL,Revenue Universe
1190,1190,Sherman Oaks,California,Los Angeles,43268197,triton-digital,Advertising & Marketing,270,1197,21955,2,348.8236,2,5,CA,Triton Digital
1203,1203,Great Neck,New York,New York City,4291638,trepoint,Advertising & Marketing,15,1210,23553,1,343.3281,9,5,NY,Trepoint
1216,1216,Austin,Texas,Austin,3661665,sales-engine-international,Advertising & Marketing,28,1223,21794,2,338.2567,18,5,TX,Sales Engine International
1265,1265,New Orleans,Louisiana,"New Orleans-Metairie, LA",4633094,search-influence,Advertising & Marketing,53,1272,19497,3,321.2333,1010,5,LA,Search Influence
1278,1278,Herndon,Virginia,"Washington, DC",38405440,team-velocity-marketing,Advertising & Marketing,87,1285,21805,2,317.2833,3,5,VA,Team Velocity Marketing
1286,1286,New York,New York,New York City,14944112,madison-logic,Advertising & Marketing,51,1293,23578,1,314.3931,9,5,NY,Madison Logic
1295,1295,Reston,Virginia,"Washington, DC",16753792,resonate,Advertising & Marketing,79,1302,21146,2,312.0932,3,5,VA,Resonate
1314,1314,Quincy,Massachusetts,Boston,10501000,edvisors,Advertising & Marketing,28,1321,22416,2,306.5245,6,5,MA,Edvisors
1338,1338,Knoxville,Tennessee,"Knoxville, TN",2763358,pyxl,Advertising & Marketing,22,1345,23596,1,299.4348,99,5,TN,Pyxl
1341,1341,Portland,Oregon,"Portland, OR",2582000,copious,Advertising & Marketing,17,1348,23597,1,299.0726,10,5,OR,Copious
1350,1350,New York,New York,New York City,10303001,elite-sem,Advertising & Marketing,40,1357,17855,4,297.92400000000004,9,5,NY,Elite SEM
1386,1386,Valencia,California,Los Angeles,19633441,scorpion,Advertising & Marketing,97,1393,43661,3,288.8535,2,5,CA,Scorpion
1394,1394,Chicago,Illinois,Chicago,3219000,target-data,Advertising & Marketing,14,1401,23615,1,286.899,17,5,IL,Target Data
1424,1424,Simi Valley,California,"Oxnard-Thousand Oaks-Ventura, CA",13496000,bruce-clay,Advertising & Marketing,90,1433,2309,7,280.4912,67,5,CA,Bruce Clay
1426,1426,Peachtree City,Georgia,Atlanta,2399673,powersports-marketing,Advertising & Marketing,17,1435,23625,1,280.23900000000003,29,5,GA,Powersports Marketing
1435,1435,Lisle,Illinois,Chicago,356761936,royal-buying-group,Advertising & Marketing,63,1444,46,8,278.0804,17,5,IL,Royal Buying Group
1451,1451,Cincinnati,Ohio,Cincinnati,2089693,copperfox-marketing,Advertising & Marketing,17,1460,23631,1,273.9213,47,5,OH,Copperfox Marketing
1470,1470,Chicago,Illinois,Chicago,8958330,all-terrain,Advertising & Marketing,31,1479,2410,5,270.0231,17,5,IL,All Terrain
1474,1474,Chicago,Illinois,Chicago,2946817,walker-sands-communications,Advertising & Marketing,40,1483,23639,1,269.3392,17,5,IL,Walker Sands Communications
1480,1480,San Diego,California,San Diego,2478768,vertical-direct-marketing-group,Advertising & Marketing,27,1489,23641,1,267.9297,11,5,CA,Vertical Direct Marketing Group
1485,1485,Pittsburgh,Pennsylvania,"Pittsburgh, PA",3091627,z-brand-group,Advertising & Marketing,15,1494,23642,1,266.9735,52,5,PA,Z Brand Group
1486,1486,Gaithersburg,Maryland,"Washington, DC",6543059,aquarius-sports-and-entertainment,Advertising & Marketing,7,1495,23643,1,266.893,3,5,MD,Aquarius Sports and Entertainment
1492,1492,Duluth,Georgia,Atlanta,13519559,campus-special,Advertising & Marketing,50,1501,18005,4,265.4614,29,5,GA,Campus Special
1494,1494,Irvington,New York,New York City,6845054,adcorp-media-group,Advertising & Marketing,38,1503,23645,1,265.3523,9,5,NY,AdCorp Media Group
1509,1509,Raleigh,North Carolina,"Raleigh, NC",5859653,trimark-digital,Advertising & Marketing,22,1519,19467,3,262.6586,1029,5,NC,TriMark Digital
1517,1517,Atlanta,Georgia,Atlanta,5335339,arke,Advertising & Marketing,50,1527,23658,1,260.8826,29,5,GA,Arke
1518,1518,Southfield,Michigan,Detroit,14346348,detroit-trading,Advertising & Marketing,21,1528,19745,3,260.5978,50,5,MI,Detroit Trading
1521,1521,Plano,Texas,Dallas,5576160,vlg,Advertising & Marketing,34,1531,20611,3,260.4979,8,5,TX,VLG
1525,1525,Overland Park,Kansas,"Kansas City, MO-KS",14475000,deg,Advertising & Marketing,115,1535,20136,3,260.132,21,5,KS,DEG
1541,1541,Burlington,Vermont,"Burlington-South Burlington, VT",182637141,dealercom,Advertising & Marketing,697,1551,994,7,256.8099,156,5,VT,Dealer.com
1550,1550,Hollywood,Florida,Miami,39142522,onekreate,Advertising & Marketing,100,1560,23668,1,254.7896,1,5,FL,OneKreate
1555,1555,New York,New York,New York City,67272950,droga5,Advertising & Marketing,250,1565,23671,1,253.9824,9,5,NY,Droga5
1561,1561,Plano,Texas,Dallas,2060174,wrightimc,Advertising & Marketing,35,1571,23675,1,252.8608,8,5,TX,WrightIMC
1578,1578,Salt Lake City,Utah,Salt Lake City,2759216,queen-of-wraps,Advertising & Marketing,32,1588,23683,1,249.7912,12,5,UT,Queen of Wraps
1586,1586,Newtown,Pennsylvania,Philadelphia,10905495,optimal-strategix-group,Advertising & Marketing,75,1596,17551,4,248.1496,49,5,PA,Optimal Strategix Group
1591,1591,Birmingham,Alabama,"Birmingham-Hoover, AL",2030524,digital-marketing-services,Advertising & Marketing,14,1601,23685,1,247.2394,140,5,AL,Digital Marketing Services
1599,1599,New York,New York,New York City,6542518,entermarketing,Advertising & Marketing,35,1609,23687,1,246.5546,9,5,NY,Enter:Marketing
