,AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
288,Discovery Chicago* [Publicis],Chicago,2500000,92.3,Discovery Chicago* ,Publicis
289,Integrated Media Solutions* [MDC Partners],New York,2475000,-19.6,Integrated Media Solutions* ,MDC Partners
290,Osborn Barr,St. Louis,2450000,3.6,Osborn Barr,Independent
291,Magnani Caruso Dutton,New York,2450000,5.4,Magnani Caruso Dutton,Independent
292,Empower MediaMarketing*,Cincinnati,2411500,6.0,Empower MediaMarketing*,Independent
293,CDM Princeton* [Omnicom],"Princeton, N.J.",2400000,,CDM Princeton* ,Omnicom
294,Peter A. Mayer Advertising,New Orleans,2392600,33.5,Peter A. Mayer Advertising,Independent
295,Big Fuel* [Publicis],New York,2386000,-14.8,Big Fuel* ,Publicis
296,KSL Media*,New York,2368000,5.2,KSL Media*,Independent
297,Berry Network Digital Advertising*,"Dayton, Ohio",2350000,,Berry Network Digital Advertising*,Independent
298,Vitro* [MDC Partners],San Diego,2321200,,Vitro* ,MDC Partners
299,Blue State Digital* [WPP],New York,2316900,6.0,Blue State Digital* ,WPP
300,Fahlgren Mortine,"Columbus, Ohio",2300100,4.9,Fahlgren Mortine,Independent
301,Burrell Communications Group* [Publicis],Chicago,2300000,0.0,Burrell Communications Group* ,Publicis
302,Designkitchen* [WPP],Chicago,2300000,35.3,Designkitchen* ,WPP
303,Just Marketing International*,"Zionsville, Ind.",2300000,0.0,Just Marketing International*,Independent
304,TM Advertising* [Interpublic],Dallas,2296200,-3.5,TM Advertising* ,Interpublic
305,Eleven,San Francisco,2294400,3.9,Eleven,Independent
306,Regan Communications [Regan Communications Group],Boston,2290600,10.0,Regan Communications ,Regan Communications Group
307,GA Communication Group,Chicago,2290000,10.1,GA Communication Group,Independent
308,Upshot,Chicago,2280000,8.8,Upshot,Independent
309,Macquarium Intelligent Communications*,Atlanta,2251400,-22.0,Macquarium Intelligent Communications*,Independent
310,Biolumina* [Omnicom],New York,2250000,12.5,Biolumina* ,Omnicom
311,Eveo,San Francisco,2200000,-2.2,Eveo,Independent
312,180 Amsterdam/180LA* [Omnicom],"Amsterdam/Santa Monica, Calif.",2150000,7.5,180 Amsterdam/180LA* ,Omnicom
313,Marquette Group,"Peoria, Ill.",2139100,2.3,Marquette Group,Independent
314,Kern Organization* [Omnicom],"Woodland Hills, Calif.",2133600,1.6,Kern Organization* ,Omnicom
315,Barbarian Group [Cheil Worldwide],New York,2117700,23.4,Barbarian Group ,Cheil Worldwide
316,Didit,"Mineola, N.Y.",2110000,,Didit,Independent
317,Profero,New York,2100000,8.2,Profero,Independent
318,Zeno Group [DJE Holdings],New York,2079900,48.1,Zeno Group ,DJE Holdings
319,Phonevalley* [Publicis],Boston,2050000,2.5,Phonevalley* ,Publicis
320,Tapestry* [Publicis],Chicago,2050000,11.4,Tapestry* ,Publicis
321,Gage,Minneapolis,2040000,11.5,Gage,Independent
322,rEvolution,Chicago,2037100,-13.3,rEvolution,Independent
323,Avrett Free Ginsberg* [Interpublic],New York,2030000,0.0,Avrett Free Ginsberg* ,Interpublic
324,Sterling-Rice Group,"Boulder, Colo.",2024700,-3.8,Sterling-Rice Group,Independent
325,Creative Alliance*,"Louisville, Ky.",2012000,-7.6,Creative Alliance*,Independent
326,Coyne Public Relations,"Parsippany, N.J.",2002700,12.5,Coyne Public Relations,Independent
327,Nurun* [Quebecor Media's Nurun],Montreal,2000000,3.6,Nurun* ,Quebecor Media's Nurun
328,Pereira & O'Dell [Grupo ABC],San Francisco,2000000,35.1,Pereira & O'Dell ,Grupo ABC
329,UniWorld Group* [WPP],"Brooklyn, N.Y.",2000000,5.3,UniWorld Group* ,WPP
330,FKM,Houston,1997800,6.3,FKM,Independent
331,Alma* [Omnicom],Miami,1992900,16.0,Alma* ,Omnicom
332,Taylor,New York,1980000,3.7,Taylor,Independent
333,Gibbs & Soell*,New York,1973500,34.2,Gibbs & Soell*,Independent
334,Factory Design Labs,Denver,1957400,22.1,Factory Design Labs,Independent
335,Liquid Agency,"San Jose, Calif.",1956600,60.6,Liquid Agency,Independent
336,Marketing Support,Chicago,1954800,17.7,Marketing Support,Independent
337,Code & Theory,New York,1950000,18.2,Code & Theory,Independent
338,Smith,Seattle,1950000,-30.4,Smith,Independent
339,McCormick Co.,"Amarillo, Texas",1931100,12.7,McCormick Co.,Independent
340,Laird & Partners* [MDC Partners],New York,1926900,7.1,Laird & Partners* ,MDC Partners
341,Cone Communications* [Omnicom],Boston,1925000,1.3,Cone Communications* ,Omnicom
342,Biggs Gilmore,"Kalamazoo, Mich.",1909600,7.7,Biggs Gilmore,Independent
343,Serino/Coyne* [Omnicom],New York,1905500,24.5,Serino/Coyne* ,Omnicom
344,Zubi Advertising Services,"Coral Gables, Fla.",1900000,0.5,Zubi Advertising Services,Independent
345,HY Connect,Chicago,1896300,21.8,HY Connect,Independent
346,Cooney/Waters Group [Creston],New York,1896100,-7.2,Cooney/Waters Group ,Creston
347,EffectiveUI* [WPP],Denver,1890000,-9.1,EffectiveUI* ,WPP
348,Flashpoint Medica* [Omnicom],New York,1886000,15.0,Flashpoint Medica* ,Omnicom
349,Dieste* [Omnicom],Dallas,1870000,0.0,Dieste* ,Omnicom
350,OutCast Agency [Next Fifteen Communications Group],San Francisco,1870000,3.9,OutCast Agency ,Next Fifteen Communications Group
351,De la Cruz Group,"Guaynabo, P.R.",1850700,11.5,De la Cruz Group,Independent
352,JWT Action* [WPP],"Akron, Ohio",1850000,-7.5,JWT Action* ,WPP
353,MV42* [Publicis],New York,1848000,12.0,MV42* ,Publicis
354,Tris3ct,Chicago,1844900,20.0,Tris3ct,Independent
355,LLNS* [Omnicom],New York,1841800,-3.1,LLNS* ,Omnicom
356,Moosylvania*,St. Louis,1841800,0.9,Moosylvania*,Independent
357,Text 100* [Next Fifteen Communications Group],New York,1839400,1.0,Text 100* ,Next Fifteen Communications Group
358,Dentsu America* [Dentsu],New York,1824200,3.4,Dentsu America* ,Dentsu
359,Entree Health* [Omnicom],New York,1814300,16.3,Entree Health* ,Omnicom
360,Blue Chip Marketing Worldwide*,"Northbrook, Ill.",1813000,34.3,Blue Chip Marketing Worldwide*,Independent
361,HealthEd,"Clark, N.J.",1800000,-14.3,HealthEd,Independent
362,Ignited,"El Segundo, Calif.",1800000,2.9,Ignited,Independent
363,Images USA,Atlanta,1800000,12.5,Images USA,Independent
364,Via Agency,"Portland, Maine",1800000,17.7,Via Agency,Independent
365,Greater Than One,New York,1790000,11.2,Greater Than One,Independent
366,Sigma Group,"Oradell, N.J.",1770000,7.3,Sigma Group,Independent
367,MMB*,Boston,1762900,8.8,MMB*,Independent
368,Adams & Knight,"Avon, Conn.",1761300,41.7,Adams & Knight,Independent
369,Cadient Group*,"King of Prussia, Pa.",1760000,0.0,Cadient Group*,Independent
370,Partners & Napier [Project WorldWide],"Rochester, N.Y.",1755000,-8.1,Partners & Napier ,Project WorldWide
371,Agency 720* [Omnicom],Detroit,1750000,16.8,Agency 720* ,Omnicom
372,French/West/Vaughan,"Raleigh, N.C.",1718600,25.4,French/West/Vaughan,Independent
373,Risdall Advertising*,"New Brighton, Minn.",1709000,17.0,Risdall Advertising*,Independent
374,EPAM Empathy Lab,"Conshohocken, Pa.",1700000,6.3,EPAM Empathy Lab,Independent
375,Legacy Marketing Partners [RiverNorth Group (KB Holdings)],Chicago,1700000,-5.6,Legacy Marketing Partners ,RiverNorth Group (KB Holdings)
376,Schafer Condon Carter,Chicago,1699000,9.8,Schafer Condon Carter,Independent
377,Sundog,"Fargo, N.D.",1698700,15.5,Sundog,Independent
378,Walton Isaacson,"Culver City, Calif./Chicago",1697800,35.8,Walton Isaacson,Independent
379,Padilla Speer Beardsley,Minneapolis,1687600,-5.4,Padilla Speer Beardsley,Independent
380,Space150,Minneapolis,1684400,-2.2,Space150,Independent
381,Sawtooth,"Red Bank, N.J.",1681500,3.0,Sawtooth,Independent
382,TargetCast* [MDC Partners],New York,1680000,12.0,TargetCast* ,MDC Partners
383,Riester,Phoenix,1676100,15.6,Riester,Independent
384,Red Interactive Agency*,"Santa Monica, Calif.",1665000,15.6,Red Interactive Agency*,Independent
385,AdAsia Communications,"Englewood Cliffs, N.J.",1660400,,AdAsia Communications,Independent
386,Firstborn* [Dentsu],New York,1650000,0.0,Firstborn* ,Dentsu
387,Grupo Gallegos,"Huntington Beach, Calif.",1650000,6.5,Grupo Gallegos,Independent
388,TBC,Baltimore,1630000,8.7,TBC,Independent
389,Power Creative,"Louisville, Ky.",1628100,6.8,Power Creative,Independent
390,Mastermind Marketing,Atlanta,1620000,9.5,Mastermind Marketing,Independent
391,Emanate* [Omnicom],New York,1618800,25.0,Emanate* ,Omnicom
392,Peppercom,New York,1617300,10.7,Peppercom,Independent
393,Fitzgerald & Co.* [Interpublic],Atlanta,1616000,0.0,Fitzgerald & Co.* ,Interpublic
394,Marcus Thomas,Cleveland,1608600,7.0,Marcus Thomas,Independent
395,Blitz Agency,"Santa Monica, Calif.",1605800,10.9,Blitz Agency,Independent
396,Berlin Cameron United* [WPP],New York,1600000,7.7,Berlin Cameron United* ,WPP
397,Luckie & Co.,"Birmingham, Ala.",1600000,-5.9,Luckie & Co.,Independent
398,Mekanism*,San Francisco,1600000,0.0,Mekanism*,Independent
399,La Comunidad,Miami,1580000,11.3,La Comunidad,Independent
400,LeadDog Marketing Group,New York,1576000,31.0,LeadDog Marketing Group,Independent
401,Roberts & Langer DDB* [Omnicom],New York,1571600,10.0,Roberts & Langer DDB* ,Omnicom
402,GlynnDevins Advertising & Marketing,"Overland Park, Kan.",1568900,32.3,GlynnDevins Advertising & Marketing,Independent
403,RevHealth,"Morristown, N.J.",1563000,22.5,RevHealth,Independent
404,Intermark Group,"Birmingham, Ala.",1560000,-26.5,Intermark Group,Independent
405,Evolution Bureau* [Omnicom],San Francisco,1550000,3.3,Evolution Bureau* ,Omnicom
406,Fuseideas,"Winchester, Mass.",1550000,82.4,Fuseideas,Independent
407,Swanson Russell,"Lincoln, Neb.",1535300,11.5,Swanson Russell,Independent
408,GlobalWorks Group,New York,1535000,4.1,GlobalWorks Group,Independent
409,LehmanMillet* [HealthStar Communications],Boston,1530000,0.0,LehmanMillet* ,HealthStar Communications
410,Della Femina/Rothschild/Jeary & Partners*,New York,1528100,-2.6,Della Femina/Rothschild/Jeary & Partners*,Independent
411,RKG,"Charlottesville, Va.",1514700,87.6,RKG,Independent
412,Fathom,"Valley View, Ohio",1511500,15.1,Fathom,Independent
413,Omelet,"Culver City, Calif.",1510000,228.3,Omelet,Independent
414,Tierney* [Interpublic],Philadelphia,1500000,0.0,Tierney* ,Interpublic
415,Iris [Iris Worldwide],New York,1499900,36.0,Iris ,Iris Worldwide
416,Wing* [WPP],New York,1494200,5.6,Wing* ,WPP
417,Lockard & Wechsler Direct,"Irvington, N.Y.",1492000,19.8,Lockard & Wechsler Direct,Independent
418,Sanders/Wingo,"El Paso, Texas",1490600,4.8,Sanders/Wingo,Independent
419,Struck,Salt Lake City,1479400,-10.0,Struck,Independent
420,Cheil Worldwide,New York,1465600,10.6,Cheil Worldwide,Independent
421,Hunter Public Relations,New York,1455400,21.0,Hunter Public Relations,Independent
422,M Booth [Next Fifteen Communications Group],New York,1455100,3.2,M Booth ,Next Fifteen Communications Group
