AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG
Rain,New York,"12,000",100
Reprise Media* [Interpublic],New York,"12,000",-23.7
Hitchcock Fleming & Associates*,"Akron, Ohio","11,937",0
Admerasia,New York,"11,750",9.3
FKQ Advertising & Marketing,"Clearwater, Fla.","11,726",13.2
DMW Direct,"Chesterbrook, Pa.","11,680",4.3
Duncan/Channon,San Francisco,"11,500",-17.9
Lippe Taylor*,New York,"11,500",15
Natrel Communications,"Parsippany, N.J.","11,480",10.4
Cranford Johnson Robinson Woods*,"Little Rock, Ark.","11,427",0
Catalyst,"Rochester, N.Y.","11,389",3.2
Bodden Partners,New York,"11,360",28.5
Marlin Network,"Springfield, Mo.","11,315",19.1
Godfrey,"Lancaster, Pa.","11,300",-6.6
SparkPR,San Francisco,"11,280",8.5
Closerlook*,Chicago,"11,193",21.9
Sigma Marketing Insights,"Rochester, N.Y.","11,113",-2.8
Deep Focus [Engine Group],New York,"11,104",5.7
Tenthwave Digital,"Melville, N.Y.","11,082",56.4
Ologie,"Columbus, Ohio","11,035",5.6
Sloane & Co.* [MDC Partners],New York,"11,035",2.2
Mono* [MDC Partners],Minneapolis,"11,004",11.9
Big Spaceship*,"Brooklyn, N.Y.","11,000",22.2
Boathouse Group,"Waltham, Mass.","11,000",10
Genuine Interactive,Boston,"11,000",10
Lapiz USA* [Publicis],Chicago,"11,000",-8.3
The Gate Worldwide* [MSQ Partners],New York,"11,000",0
Rally Marketing Group,Seattle,"10,982",17.5
Bailey Lauerman,"Lincoln, Neb.","10,910",3.9
Widmeyer Communications,Washington,"10,900",7
Kaplow*,New York,"10,850",8.2
Trozzolo Communications Group,"Kansas City, Mo.","10,821",4.7
Clarity Coverdale Fury,Minneapolis,"10,800",4.9
Republica,Miami,"10,700",30.5
Black Twig Communications*,St. Louis,"10,695",6.5
Proof Advertising,"Austin, Texas","10,661",18.9
Roberts Communications,"Rochester, N.Y.","10,660",9
Sullivan,New York,"10,602",5.2
Relevent* [MDC Partners],New York,"10,600",0
